Entity,Code,Year,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Depressive disorders,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Schizophrenia,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Bipolar disorder,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Eating disorders,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Anxiety disorders
Mozambique,MDV,2003,780.7463978645993,161.13739565126016,88.93377090936193,24.384942180361044,301.4565587842945
Madagascar,GEO,2019,766.1126544859356,182.19919572341777,157.57519936283282,58.6529276804028,481.9506352651889
Indonesia,CAN,1999,679.0905864280401,150.4205802907026,145.6925869519372,14.093037508856344,342.46992684962663
Honduras,DOM,2010,488.9219626776746,152.1474707450958,39.438133,12.187033,223.39163572486962
China,GHA,2009,866.2037912948127,120.39889,127.72748146023709,13.61283424229218,390.5586812905901
Afghanistan,DZA,2018,744.2706220072805,146.55861235717583,137.2426967793269,41.67336562409238,375.26344928732516
Kuwait,CUB,2002,728.6473096225011,181.10765725854264,164.70351143520435,49.44798813585476,458.65431131648955
Burkina Faso,COM,2019,558.1138123459656,205.47875720972763,200.6443476642334,69.8732145355639,334.0298091378962
Egypt,BRB,2003,614.5881831447449,196.03383975937157,222.02166600616886,70.21211457084317,487.82704117183505
Iceland,CPV,1996,512.5563972615884,231.27199568992026,111.09882255026173,81.27448886347597,505.94007870655054
Low income (WB),PRY,1992,696.2188639612833,128.63339909684072,130.9860684076744,12.187033,290.99920412455003
Equatorial Guinea,BFA,2010,624.9814400927435,141.60865854832272,85.44992321478125,42.404647994705186,372.396531194345
Ethiopia,BRN,2007,443.24422695693823,178.38101403010273,196.941901145885,39.364887284099474,315.4338980235435
Romania,ISR,2004,681.2183780041034,186.84877365383855,175.61028504223617,50.8520985456277,334.8808282829701
Lebanon,MDG,2009,692.2269107345553,151.87850876644313,144.9076953871709,12.187033,180.04964
Bahamas,EST,2012,677.6469467751432,147.93312300450552,179.97155207904223,52.4674498498806,180.04964
Romania,ROU,2002,537.3696909777027,149.262902724912,140.51744399672967,34.586735047452265,362.00603101469113
Monaco,MUS,2007,813.8604250241546,188.08085476383954,143.96661055355995,42.790392875003974,599.221574071773
Latvia,NPL,2010,963.1382358690032,136.16673610942658,146.2762084059073,35.11864995116808,477.2958794943512
Romania,KWT,2016,304.3969584133794,174.39767972051632,86.76568670505819,12.187033,283.2421281236709
Cameroon,BLZ,2003,687.1664574818304,155.46143318898055,44.05081981853901,27.59426424390339,180.04964
Middle East & North Africa (WB),IND,1990,623.9571670247693,192.9259285473415,160.01265375622498,16.403478217477605,373.7085510090382
European Region (WHO),COG,2011,775.3621829076259,209.16959312703966,81.45439278472635,70.39722665384771,414.9084689521622
Dominican Republic,DEU,2007,856.0434339828724,190.85905707057475,161.92784398500078,58.8320421449953,478.37670492475513
Ecuador,,2001,613.186470725081,199.99657472232767,236.60150645026175,60.75760249888758,586.1511658218521
Israel,MDA,1994,729.8624896324068,156.8403136102577,39.438133,12.187033,180.04964
Czechia,,2009,272.88677773290163,183.38394182131714,169.30647215903338,81.2689555147472,466.01740816562983
G20,GTM,1998,437.5715367102174,173.68550468941302,89.41693123806245,31.601731776355834,396.433543987356
East Timor,GHA,2003,297.07542369630664,197.95553784638642,87.14223419646987,38.46972514946118,339.05444597350464
Jordan,ITA,1990,412.3713906145868,212.01831761601082,107.38680069174981,12.187033,297.0121981382649
Gabon,JOR,2005,615.15342536708,216.6467918815323,140.14872173642556,49.331757454673685,336.461896216267
Romania,PSE,2005,597.3970565213251,188.62971861312076,106.35586106544817,56.251238857887515,438.0427823454847
Lesotho,GMB,2018,731.91941021854,162.80699817766418,140.8866401239211,50.89121612521426,532.1268360166971
Kyrgyzstan,GNB,2011,932.1544264842047,167.6720127398202,75.61393816873833,12.187033,386.8577623344836
Honduras,FRA,2008,964.8324246473669,134.39879932381265,134.72740253144235,28.619261957833345,366.12126746263664
Austria,,2013,865.4691342156523,178.96925825384253,197.12079123593747,48.65755445714981,488.6828057421258
Marshall Islands,MLT,2006,862.4966995888867,147.29199783979828,95.21178054166674,12.187033,413.0165534339777
Fiji,BHR,2001,616.9196583122072,202.17219163659186,148.1629677573275,42.497999915023726,430.13782623449504
Oman,ROU,2003,531.209107656304,184.0277329278378,102.53343706959527,31.352073078791065,371.8607625396042
Greenland,BEN,1996,673.0770051939362,161.61849293911771,165.78818758440036,28.083076397612437,491.90160886038984
Europe & Central Asia (WB),MHL,1993,559.5334578962878,156.39774394504406,181.47755104442857,66.20032765006661,573.745701876226
Kuwait,LVA,2008,710.7900905031602,204.96799826954052,247.22550256937916,99.62635371703823,517.2846980507294
North Macedonia,LAO,2013,654.5050831530252,190.07548172335188,153.6574163758124,71.59447135530539,539.1693272466186
Hungary,FSM,1996,663.5659832172303,180.74455565400925,212.9673486841237,48.3005279734678,409.143617530198
Latvia,GAB,2006,562.1139975387171,168.61096351477624,261.127094909246,64.37745073032093,543.6262259838893
Nepal,MLT,2005,832.4945979788871,177.8265024303669,170.27719005716108,62.499179132102256,585.3494025527847
Haiti,JAM,2004,642.8826760334981,163.4090874092568,173.31127671681608,54.18660582990577,492.5662876631187
Afghanistan,AFG,1995,822.5417944792453,159.68406671355788,261.66314279107974,82.63761706157811,590.2089735512857
Indonesia,FJI,2001,741.8902814852937,167.9431028911882,113.14560448054414,35.868126147988306,350.3890135435404
Bhutan,,1997,881.7831448327231,177.17087874626458,114.3796284340267,42.35495605022578,364.8725915236843
